status	file	note
failed	alethic_pluralism_role_reference_metaphysics_truth.pdf	opendataloader_failed
failed	bender_gebru_mcmillan_major_mitchell_2021_stochastic_parrots.pdf	opendataloader_failed
skipped	bender_koller_2020.pdf	md_exists
skipped	boyd1990.pdf	md_exists
skipped	boyd1991.pdf	md_exists
skipped	boyd1999.pdf	md_exists
skipped	coelho_mollo_milliere_2023_vector_grounding_problem_arxiv2304.01481.pdf	md_exists
failed	gamester_2021_shopping_for_truth_pluralism.pdf	opendataloader_failed
failed	grindrod_2024_large_language_models_linguistic_intentionality.pdf	opendataloader_failed
failed	hoffman_2015_interface_theory_perception.pdf	opendataloader_failed
failed	hoffman_2015_interface_theory_perception_springer.pdf	opendataloader_failed
failed	lemeire_2018_no_purely_epistemic_theory_naturalness_kinds.pdf	opendataloader_failed
skipped	mahowald-etal-2024-dissociating-language-thought.pdf	md_exists
failed	mallory_2026_teleosemantics_for_neural_word_embeddings.pdf	opendataloader_failed
skipped	mandelkern_linzen_2024_do_lm_words_refer_acl.pdf	md_exists
skipped	martinez_2017_stable_property_clusters_and_their_grounds_S0031824800010126.pdf	md_exists
failed	martinez_2019_usefulness_drives_representations_to_truth.pdf	opendataloader_failed
skipped	millikan2017-ch1.pdf	md_exists
skipped	millikan_1990_compare_contrast_dretske_fodor_millikan_teleosemantics.pdf	md_exists
failed	pedersen_2012_recent_work_on_alethic_pluralism.pdf	opendataloader_failed
failed	price_2023_global_expressivism_and_alethic_pluralism.pdf	opendataloader_failed
converted	iep_pluralist_theories_of_truth.html	pandoc_markdown_created
converted	sep_natural_kinds.html	pandoc_markdown_created
converted	sep_pluralist_theories_of_truth.html	pandoc_markdown_created
failed	chalmers_2024_thought_sensory_grounding_llms.pdf	opendataloader_failed
failed	crane_2021_two_approaches_to_natural_kinds.pdf	opendataloader_failed
failed	khalidi_2015_natural_kinds_crosscutting_categories.pdf	opendataloader_failed
failed	magnus_2015_taxonomy_ontology_natural_kinds.pdf	opendataloader_failed
failed	merrill_wu_naka_kim_linzen_2024_semantics_next_word_prediction_entailment.pdf	opendataloader_failed
failed	pedersen_2006_mixed_inferences_alethic_pluralism.pdf	opendataloader_failed
failed	piantadosi_hill_2022_meaning_without_reference_llms.pdf	opendataloader_failed
failed	wyatt_lynch_2016_from_one_to_many_recent_work_on_truth.pdf	opendataloader_failed
failed	brigandt_2020_kinds_without_natural_kinds.pdf	opendataloader_failed
failed	slater_2015_natural_kindness.pdf	opendataloader_failed
